task_id,baseline_success,verify_success,repair_success,baseline_reward,verify_reward,repair_reward,baseline_steps,verify_steps,repair_steps,baseline_actions,verify_actions,repair_actions,baseline_vs_verify_first_diff_step,baseline_vs_verify_first_diff_prompt_sha_equal,baseline_vs_repair_first_diff_step,result_change_baseline_to_repair,reward_delta_baseline_to_repair,first_rule_risk_step,first_llm_verified_error_step,first_repair_hint_step,pre_repair_attempt_count,post_hint_created_count,repair_hint_applied_count,repair_hint_followed_count,repair_hint_ignored_count,notes
42,False,False,False,0.0,0.0,0.0,11,11,11,search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: vintage camo size: 4x-large price lower than 70.00 dollars] | click[b09q8rd8yn] | click[b09q8rd8yn] | click[description] | click[back to search] | search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: vintage camo size: 4x-large price lower than 70.00 dollars] | click[next >] | click[b07zxbgdxf] | click[4x-large] | click[vintage camo] | click[buy now],search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: vintage camo size: 4x-large price lower than 70.00 dollars] | click[b09q8rd8yn] | click[b09q8rd8yn] | click[description] | click[back to search] | search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: vintage camo size: 4x-large price lower than 70.00 dollars] | click[next >] | click[b07zxbgdxf] | click[4x-large] | click[vintage camo] | click[buy now],search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: vintage camo size: 4x-large price lower than 70.00 dollars] | click[b09q8rd8yn] | click[b09q8rd8yn] | click[description] | click[back to search] | search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: vintage camo size: 4x-large price lower than 70.00 dollars] | click[next >] | click[b07zxbgdxf] | click[4x-large] | click[vintage camo] | click[buy now],,,,fail_to_fail,0.0,,,,0,0,0,0,0,risk not detected
43,True,True,True,0.4,0.4,0.4,4,4,4,search[gluten free protein serving pantry staples flavor: pepper jack size: 4.25 ounce (pack of 12) price lower than 70.00 dollars] | click[b08p28nxh3] | click[b08p28nxh3] | click[buy now],search[gluten free protein serving pantry staples flavor: pepper jack size: 4.25 ounce (pack of 12) price lower than 70.00 dollars] | click[b08p28nxh3] | click[b08p28nxh3] | click[buy now],search[gluten free protein serving pantry staples flavor: pepper jack size: 4.25 ounce (pack of 12) price lower than 70.00 dollars] | click[b08p28nxh3] | click[b08p28nxh3] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
44,False,False,False,0.0,0.0,0.0,15,15,15,search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[b09qgk5xhz] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[b09qgk5xhz],search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[b09qgk5xhz] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[b09qgk5xhz],search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[b09qgk5xhz] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's long sleeve t-shirt color:big game field camo size:5x-large big price:less than 70.00] | click[b09qgk5xhz],,,,fail_to_fail,0.0,13,13,13,0,1,1,1,0,risk detected but hint ineffective; step budget exhausted
45,False,False,False,0.0,0.0,0.0,4,4,4,search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: navy blue size: small price lower than 70.00 dollars] | click[next >] | click[b09kp78g37] | click[buy now],search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: navy blue size: small price lower than 70.00 dollars] | click[next >] | click[b09kp78g37] | click[buy now],search[machine wash wash cold women's fashion hoodies & sweatshirts for dry clean tumble dry color: navy blue size: small price lower than 70.00 dollars] | click[next >] | click[b09kp78g37] | click[buy now],,,,fail_to_fail,0.0,,,,0,0,0,0,0,risk not detected
46,False,False,False,0.0,0.0,0.0,15,15,15,search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x price lower than 60.00 dollars] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x price lower than 60.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[b09p39qn2w] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x under 60 dollars] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x price lower than 60.00 dollars] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x price lower than 60.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[b09p39qn2w] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x under 60 dollars] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x price lower than 60.00 dollars] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x price lower than 60.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[b09p39qn2w] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve cradle pink size 3x under 60 dollars] | click[next >] | click[next >] | click[next >],,,,fail_to_fail,0.0,7,8,8,0,1,1,1,0,risk detected but hint ineffective; step budget exhausted
47,False,False,False,0.0,0.0,0.0,15,15,15,search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b07hrfsnl4] | click[description] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b09qqp3356] | click[b09qqp3356] | click[large] | click[features] | click[value] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b09qqp3356] | click[value],search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b07hrfsnl4] | click[description] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b09qqp3356] | click[b09qqp3356] | click[large] | click[features] | click[value] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b09qqp3356] | click[value],search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b07hrfsnl4] | click[description] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b09qqp3356] | click[b09qqp3356] | click[large] | click[features] | click[value] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve deep anchor heather large under 60] | click[b09qqp3356] | click[value],,,,fail_to_fail,0.0,,,,0,0,0,0,0,risk not detected
48,True,True,True,0.2857142857142857,0.2857142857142857,0.2857142857142857,10,10,10,search[machine wash men's dress shirts cotton spandex classic fit short sleeve pale coral x-large under 60.00] | click[b09qqp3356] | click[x-large] | click[description] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve pale coral x-large under 60.00] | click[next >] | click[b07f2g93bj] | click[b07f2g93bj] | click[buy now],search[machine wash men's dress shirts cotton spandex classic fit short sleeve pale coral x-large under 60.00] | click[b09qqp3356] | click[x-large] | click[description] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve pale coral x-large under 60.00] | click[next >] | click[b07f2g93bj] | click[b07f2g93bj] | click[buy now],search[machine wash men's dress shirts cotton spandex classic fit short sleeve pale coral x-large under 60.00] | click[b09qqp3356] | click[x-large] | click[description] | click[back to search] | search[machine wash men's dress shirts cotton spandex classic fit short sleeve pale coral x-large under 60.00] | click[next >] | click[b07f2g93bj] | click[b07f2g93bj] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
49,False,False,False,0.0,0.0,0.0,15,15,15,search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[b07hrfsnl4] | click[description] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[next >] | click[b09p7h5yk7] | click[men] | click[men] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[next >] | click[next >] | click[b09hgfv91w] | click[back to search],search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[b07hrfsnl4] | click[description] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[next >] | click[b09p7h5yk7] | click[men] | click[men] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[next >] | click[next >] | click[b09hgfv91w] | click[back to search],search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[b07hrfsnl4] | click[description] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[next >] | click[b09p7h5yk7] | click[men] | click[men] | click[back to search] | search[officially licensed machine wash men's t-shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color pink fit type men size x-small price lower than 60.00 dollars] | click[next >] | click[next >] | click[b09hgfv91w] | click[back to search],,,,fail_to_fail,0.0,,,,0,0,0,0,0,risk not detected
50,False,False,False,0.0,0.0,0.0,15,15,15,search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size xx-large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size xx-large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size xx-large price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | click[next >] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size xx-large price lower than 50.00 dollars] | click[value] | click[b07hrfsnl4] | click[xx-large] | click[black] | click[value] | click[value] | click[value],,,4,fail_to_fail,0.0,3,3,3,0,2,1,1,0,risk detected but hint ineffective; step budget exhausted
51,True,True,True,1.0,1.0,1.0,5,5,5,search[women's dresses polyester spandex red small under 60 dollars] | click[b08zrr3dzt] | click[red] | click[small] | click[buy now],search[women's dresses polyester spandex red small under 60 dollars] | click[b08zrr3dzt] | click[red] | click[small] | click[buy now],search[women's dresses polyester spandex red small under 60 dollars] | click[b08zrr3dzt] | click[red] | click[small] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
52,True,True,True,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,5,search[hand wash men's sleep & lounge long sleeve elastic waistband daily wear color: multi 4 size: xx-large price: <70.00] | click[b09qw2hqrk] | click[b09qw2hqrk] | click[b09qw2hqrk] | click[b09qw2hqrk] | click[buy now],search[hand wash men's sleep & lounge long sleeve elastic waistband daily wear color: multi 4 size: xx-large price: <70.00] | click[b09qw2hqrk] | click[b09qw2hqrk] | click[b09qw2hqrk] | click[b09qw2hqrk] | click[buy now],search[hand wash men's sleep & lounge long sleeve elastic waistband daily wear color: multi 4 size: xx-large price: <70.00] | click[b09qw2hqrk] | click[b09qw2hqrk] | click[b09qw2hqrk] | click[buy now],,,4,success_to_success,0.0,3,3,3,0,1,1,1,0,
53,True,True,True,1.0,1.0,1.0,5,5,5,search[eco friendly throw blankets with fleece throw color: paris eiffel tower1goo8867 size: 39x59in price lower than 60.00 dollars] | click[b09dg3ythy] | click[paris eiffel tower1goo8867] | click[39x59in] | click[buy now],search[eco friendly throw blankets with fleece throw color: paris eiffel tower1goo8867 size: 39x59in price lower than 60.00 dollars] | click[b09dg3ythy] | click[paris eiffel tower1goo8867] | click[39x59in] | click[buy now],search[eco friendly throw blankets with fleece throw color: paris eiffel tower1goo8867 size: 39x59in price lower than 60.00 dollars] | click[b09dg3ythy] | click[paris eiffel tower1goo8867] | click[39x59in] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
54,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,6,6,search[non slip hand wash women's loafers slip-ons arch support beige size 9 under 50 dollars] | click[next >] | click[b07rpmcnkd] | click[8-9] | click[beige] | click[buy now],search[non slip hand wash women's loafers slip-ons arch support beige size 9 under 50 dollars] | click[next >] | click[b07rpmcnkd] | click[8-9] | click[beige] | click[buy now],search[non slip hand wash women's loafers slip-ons arch support beige size 9 under 50 dollars] | click[next >] | click[b07rpmcnkd] | click[8-9] | click[beige] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
55,True,True,True,0.025,0.025,0.025,4,4,4,search[wash cold machine wash women's suiting blazers button closure polyester spandex long sleeve black x-small under 70.00] | click[next >] | click[b09r7h66fc] | click[buy now],search[wash cold machine wash women's suiting blazers button closure polyester spandex long sleeve black x-small under 70.00] | click[next >] | click[b09r7h66fc] | click[buy now],search[wash cold machine wash women's suiting blazers button closure polyester spandex long sleeve black x-small under 70.00] | click[next >] | click[b09r7h66fc] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
56,True,True,True,0.42857142857142855,0.42857142857142855,0.42857142857142855,9,9,9,search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole 228l.brown size 10.5 price less than 70.00 dollars] | click[b082mt9162] | click[value] | click[description] | click[back to search] | search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole 228l.brown size 10.5 price less than 70.00 dollars] | click[b094rbns2k] | click[10.5 narrow] | click[buy now],search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole 228l.brown size 10.5 price less than 70.00 dollars] | click[b082mt9162] | click[value] | click[description] | click[back to search] | search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole 228l.brown size 10.5 price less than 70.00 dollars] | click[b094rbns2k] | click[10.5 narrow] | click[buy now],search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole 228l.brown size 10.5 price less than 70.00 dollars] | click[b082mt9162] | click[value] | click[description] | click[back to search] | search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole 228l.brown size 10.5 price less than 70.00 dollars] | click[b094rbns2k] | click[10.5 narrow] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
57,False,False,True,0.0,0.0,0.16666666666666666,15,15,9,search[mens sleep lounge long sleeve elastic waistband daily wear color multi 2 size xx large price less than 70] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[mens sleep lounge long sleeve elastic waistband daily wear color multi 2 size xx large price less than 70] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >],search[mens sleep lounge long sleeve elastic waistband daily wear color multi 2 size xx large price less than 70] | click[next >] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[mens sleep lounge long sleeve elastic waistband daily wear color multi 2 size xx large price less than 70] | click[b09qw2hqrk] | click[buy now],,,4,fail_to_success,0.166667,3,3,3,0,1,1,1,0,repair_success; first_rule_risk=3; first_verified_error=3; first_hint=3
58,True,True,True,0.6,0.6,0.6,5,5,5,search[loose fit slim fit men's shorts short sleeve contrast color regular fit drawstring waist gym workout light blue large under 40.00 dollars] | click[b09q5zhrvm] | click[blue] | click[large] | click[buy now],search[loose fit slim fit men's shorts short sleeve contrast color regular fit drawstring waist gym workout light blue large under 40.00 dollars] | click[b09q5zhrvm] | click[blue] | click[large] | click[buy now],search[loose fit slim fit men's shorts short sleeve contrast color regular fit drawstring waist gym workout light blue large under 40.00 dollars] | click[b09q5zhrvm] | click[blue] | click[large] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
59,True,True,True,0.8333333333333334,0.8333333333333334,0.8333333333333334,4,4,4,search[quick drying moisture wicking women's activewear long sleeve b-black-thumbhole x-large under 50 dollars] | click[b08jd14gjf] | click[x-large] | click[buy now],search[quick drying moisture wicking women's activewear long sleeve b-black-thumbhole x-large under 50 dollars] | click[b08jd14gjf] | click[x-large] | click[buy now],search[quick drying moisture wicking women's activewear long sleeve b-black-thumbhole x-large under 50 dollars] | click[b08jd14gjf] | click[x-large] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
60,False,False,False,0.0,0.0,0.0,15,15,15,"search[home office furniture sets for dining room, living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[b07fkgqkz1] | click[description] | click[back to search] | search[home office furniture sets for dining room living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[b09q2zbb1g] | click[back to search] | search[home office furniture sets for dining room living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >]","search[home office furniture sets for dining room, living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[b07fkgqkz1] | click[description] | click[back to search] | search[home office furniture sets for dining room living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[b09q2zbb1g] | click[back to search] | search[home office furniture sets for dining room living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >]","search[home office furniture sets for dining room, living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[b07fkgqkz1] | click[description] | click[back to search] | search[home office furniture sets for dining room living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[b09q2zbb1g] | click[back to search] | search[home office furniture sets for dining room living room color brown black item shape round size 5 ft 2 in x 7 ft 4 in price lower than 80.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[next >]",,,,fail_to_fail,0.0,12,14,14,0,1,0,0,0,risk detected but hint ineffective; step budget exhausted
61,True,True,True,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,4,search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color black-hole228 size 7 price lower than 70.00 dollars] | click[b082mt9162] | click[b082mt9162] | click[buy now],search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color black-hole228 size 7 price lower than 70.00 dollars] | click[b082mt9162] | click[b082mt9162] | click[buy now],search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color black-hole228 size 7 price lower than 70.00 dollars] | click[b082mt9162] | click[b082mt9162] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
62,True,True,True,0.42857142857142855,0.42857142857142855,0.42857142857142855,5,5,5,search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color:r.brown-hole228 size:14 price:70.00] | click[next >] | click[next >] | click[b01lxtllvg] | click[buy now],search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color:r.brown-hole228 size:14 price:70.00] | click[next >] | click[next >] | click[b01lxtllvg] | click[buy now],search[slip resistant non slip men's loafers slip-ons rubber outsole rubber sole color:r.brown-hole228 size:14 price:70.00] | click[next >] | click[next >] | click[b01lxtllvg] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
63,True,True,True,0.020000000000000004,0.020000000000000004,0.8,7,7,10,search[slim fit men's henleys short sleeve color 157- yellow size xx-large price less than 30.00] | click[next >] | click[next >] | click[next >] | click[next >] | click[b09p7h5yk7] | click[buy now],search[slim fit men's henleys short sleeve color 157- yellow size xx-large price less than 30.00] | click[next >] | click[next >] | click[next >] | click[next >] | click[b09p7h5yk7] | click[buy now],search[slim fit men's henleys short sleeve color 157- yellow size xx-large price less than 30.00] | click[next >] | click[next >] | click[next >] | click[b07fd13lp1] | click[back to search] | search[slim fit men's henleys short sleeve color 157- yellow size xx-large price less than 30.00] | click[b09qqp3356] | click[xx-large] | click[buy now],,,4,success_to_success,0.78,3,3,3,0,1,1,1,0,
64,True,True,True,0.5555555555555556,0.5555555555555556,0.5555555555555556,13,13,13,search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls color b17-red size medium price lower than 30.00 dollars] | click[next >] | click[b094q7b3ss] | click[description] | click[size chart] | click[back to search] | click[value] | search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls b17-red medium price lower than 30.00 dollars] | click[next >] | click[b094q7b3ss] | click[medium] | click[a01#red] | click[buy now],search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls color b17-red size medium price lower than 30.00 dollars] | click[next >] | click[b094q7b3ss] | click[description] | click[size chart] | click[back to search] | click[value] | search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls b17-red medium price lower than 30.00 dollars] | click[next >] | click[b094q7b3ss] | click[medium] | click[a01#red] | click[buy now],search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls color b17-red size medium price lower than 30.00 dollars] | click[next >] | click[b094q7b3ss] | click[description] | click[size chart] | click[back to search] | click[value] | search[loose fit day comfort hand wash women's tops tees blouses short sleeve polyester spandex teen girls b17-red medium price lower than 30.00 dollars] | click[next >] | click[b094q7b3ss] | click[medium] | click[a01#red] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
65,False,False,False,0.0,0.0,0.0,15,15,15,search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[back to search] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[next >] | click[b0969g2dh8] | click[back to search] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[next >],search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[back to search] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[next >] | click[b0969g2dh8] | click[back to search] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[next >],search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09q67h373] | click[d-black] | click[description] | click[back to search] | search[machine wash men's dress shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type youth size 3t price lower than 50.00 dollars] | click[next >] | click[b09nnmv9ln] | click[b-black] | click[features] | click[value] | click[back to search],,,4,fail_to_fail,0.0,3,3,3,0,1,1,1,0,risk detected but hint ineffective; step budget exhausted
66,False,False,False,0.0,0.0,0.0,15,15,15,search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size 2t price lower than 40.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size 2t price lower than 40.00 dollars] | click[value] | click[b07hrfsnl4] | click[black] | click[black] | click[black] | click[black] | click[value],search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size 2t price lower than 40.00 dollars] | click[next >] | click[next >] | click[next >] | click[next >] | click[b07f2g93bj] | click[back to search] | search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size 2t price lower than 40.00 dollars] | click[value] | click[b07hrfsnl4] | click[black] | click[black] | click[black] | click[black] | click[value],search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size 2t price lower than 40.00 dollars] | click[next >] | click[next >] | click[next >] | click[b09s3bn15c] | click[back to search] | click[next >] | search[wash cold machine wash men's shirts polyester heathers heathers cotton cotton heather needle sleeve classic fit color black fit type women size 2t price lower than 40.00 dollars] | click[next >] | click[next >] | click[b09s3bn15c] | click[next >] | click[next >] | click[next >] | click[next >],,,4,fail_to_fail,0.0,3,3,3,0,2,1,1,0,risk detected but hint ineffective; step budget exhausted
67,True,True,True,0.020000000000000004,0.020000000000000004,0.020000000000000004,3,3,3,search[long lasting moisture wicking men's boots daily wear size 7.5 under 150 dollars] | click[b07l6dv555] | click[buy now],search[long lasting moisture wicking men's boots daily wear size 7.5 under 150 dollars] | click[b07l6dv555] | click[buy now],search[long lasting moisture wicking men's boots daily wear size 7.5 under 150 dollars] | click[b07l6dv555] | click[buy now],,,,success_to_success,0.0,,,,0,0,0,0,0,
68,True,True,True,0.14285714285714285,0.14285714285714285,0.14285714285714285,3,3,3,search[hand wash men's sleep & lounge long sleeve elastic waistband daily wear color: multi 10 size: xx-large price: <70.00] | click[b09qw2hqrk] | click[Buy Now],search[hand wash men's sleep & lounge long sleeve elastic waistband daily wear color: multi 10 size: xx-large price: <70.00] | click[b09qw2hqrk] | click[Buy Now],search[hand wash men's sleep & lounge long sleeve elastic waistband daily wear color: multi 10 size: xx-large price: <70.00] | click[b09qw2hqrk] | click[Buy Now],,,,success_to_success,0.0,,,,0,0,0,0,0,
